celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3,0,0.210671824,0.210671824,0.083324069,0,0.108626533,0.108626533,0.083314452,0,0.208288709,0.208288709,0.090922401,0,0.175879103,0.175879103,0.099939175,0,0.22613241,0.22613241,0.11087021,0,0.173417674,0.173417674,0.12508931,0,0.338572677,0.338572677,0.14282926,0,0.221729409,0.221729409,0.166664014,0,0.257949283,0.257949283,0.250208719,0,0.356315172,0.356315172,0.333259319,,,,
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,12,0,0.106321938,0.106321938,0.083438759,0,0.203448213,0.203448213,0.083300635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,8,0,0.134412712,0.134412712,0.083278076,0,0.176736455,0.176736455,0.083346307,0,0.122639706,0.122639706,0.090928796,0,0.15601967,0.15601967,0.099987713,0,0.164543352,0.164543352,0.111244543,0,0.173417674,0.173417674,0.12508931,,,,,,,,,,,,,,,,,,,,
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,5,0,0.210671824,0.210671824,0.083324088,0,0.106114601,0.106114601,0.083315459,0,0.153782474,0.153782474,0.090843559,0,0.116889077,0.116889077,0.100062088,0,0.164543352,0.164543352,0.111244544,0,0.20457764,0.20457764,0.124928617,0,0.190926549,0.190926549,0.142805151,0,0.274807695,0.274807695,0.166671988,,,,,,,,,,,,
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,10,0,0.137755556,0.137755556,0.076916929,0,0.101020776,0.101020776,0.076855241,0,0.132933479,0.132933479,0.10001351,0,0.13216339,0.13216339,0.100102349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,6,0,0.204788,0.204788,0.076914523,0,0.336404048,0.336404048,0.076941115,0,1,1,0.099949198,0,0.142979725,0.142979725,0.099970319,0.089369635,1,0.910630365,0.111069885,0,0.165195646,0.165195646,0.111136756,0,0.202704932,0.202704932,0.125052506,0,0.210295929,0.210295929,0.142775554,0,1,1,0.166666603,,,,,,,,
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,4,0,0.335993333,0.335993333,0.076909087,0,0.253681858,0.253681858,0.076973117,0,0.174845055,0.174845055,0.099999112,0,0.207617119,0.207617119,0.099925853,0,0.50165613,0.50165613,0.111236557,0,0.204458843,0.204458843,0.111104694,0,0.502257443,0.502257443,0.125045847,0,0.510304826,0.510304826,0.142975548,0,0.259865919,0.259865919,0.166666698,0,1,1,0.250046142,0,1,1,0.250022208
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,12,0,0.137755556,0.137755556,0.07691692,0,0.125669827,0.125669827,0.076980079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3,0,0.204788,0.204788,0.076914523,0,0.253681858,0.253681858,0.076973117,0,0.339884044,0.339884044,0.100030266,0,0.176537006,0.176537006,0.099868224,0,0.163235306,0.163235306,0.11111167,0,0.165195646,0.165195646,0.11113676,0,0.130069248,0.130069248,0.124712036,0,0.183828507,0.183828507,0.142793263,0,0.215179568,0.215179568,0.16666634,0,0.350204304,0.350204304,0.250042349,0,0.262705011,0.262705011,0.249933375
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,13,0,0.110640833,0.110640833,0.076939419,0,0.098359443,0.098359443,0.07693294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,7,0,0.149697143,0.149697143,0.076943511,0,0.128449554,0.128449554,0.076657092,0,0.13644541,0.13644541,0.100053221,0,0.154940823,0.154940823,0.099858603,0,0.256629518,0.256629518,0.111273876,0,1,1,0.11108705,0,0.502257443,0.502257443,0.125045844,0,0.16197788,0.16197788,0.142871112,,,,,,,,,,,,
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,5,0,0.335993333,0.335993333,0.076909085,0.063309295,1,0.936690705,0.07690863,0,0.339884044,0.339884044,0.100030251,0,0.502113644,0.502113644,0.10004021,0,0.163235306,0.163235306,0.111111717,0,1,1,0.11108705,0,0.170797813,0.170797813,0.124996035,0,0.3436323,0.3436323,0.142869659,0,0.18437383,0.18437383,0.166667073,,,,,,,,
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2,0,1,1,0.076935241,0,0.253681858,0.253681858,0.076973117,0,1,1,0.099949198,0,0.502113644,0.502113644,0.100040202,0,0.207953422,0.207953422,0.111025985,0,0.252388666,0.252388666,0.111127408,0,0.170797813,0.170797813,0.124996035,0.115634953,1,0.884365047,0.142845204,0,0.343458379,0.343458379,0.166666743,0,0.272139399,0.272139399,0.24986536,0,1,1,0.250022208
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,8,0,0.149697143,0.149697143,0.076943526,0,0.253681858,0.253681858,0.076973117,0,0.152668923,0.152668923,0.100015796,0,0.502113644,0.502113644,0.100040202,0,0.187128931,0.187128931,0.111261293,0,0.186348477,0.186348477,0.111115467,0,0.502257443,0.502257443,0.125045848,,,,,,,,,,,,,,,,
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1,0,1,1,0.076935244,0,0.500919214,0.500919214,0.076872283,0,0.206545377,0.206545377,0.099962359,0.081385932,1,0.918614068,0.100115528,0,0.338860432,0.338860432,0.110968683,0,1,1,0.111087044,0.118797031,1,0.881202969,0.12510585,0,0.3436323,0.3436323,0.142869659,0,1,1,0.166666543,0,1,1,0.250046149,0,1,1,0.250022208
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,11,0,0.105813077,0.105813077,0.076905061,0,0.125669827,0.125669827,0.076980078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,9,0,0.137755556,0.137755556,0.076916933,0,0.125669827,0.125669827,0.076980074,0,0.13438523,0.13438523,0.09999709,0,0.138383635,0.138383635,0.10003851,0,0.135811262,0.135811262,0.110940332,0,0.145516017,0.145516017,0.11111777,,,,,,,,,,,,,,,,,,,,
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,11,0,0.120656105,0.120656105,0.083367372,0,0.113229337,0.113229337,0.083335613,0,0.105842451,0.105842451,0.090974189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,8,0,0.13184404,0.13184404,0.083358294,0,0.119570132,0.119570132,0.08333342,0,0.205893173,0.205893173,0.09094204,0,0.17500779,0.17500779,0.10001216,0,0.1562847,0.1562847,0.111107878,0,0.176927335,0.176927335,0.111098286,0,0.206064766,0.206064766,0.125051206,,,,,,,,,,,,,,,,
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,6,0,0.13184404,0.13184404,0.083358217,0,0.341801243,0.341801243,0.083333269,0,0.337542743,0.337542743,0.091001082,0,0.129194378,0.129194378,0.099957277,0,0.503618188,0.503618188,0.111109849,0,0.259896894,0.259896894,0.111089329,0,0.130826121,0.130826121,0.125042602,0,1,1,0.166788377,,,,,,,,,,,,
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,9,0,0.113514104,0.113514104,0.08332709,0,0.208462576,0.208462576,0.083332194,0,0.134997347,0.134997347,0.090895121,0,0.12472989,0.12472989,0.100196046,0,0.1562847,0.1562847,0.111107878,0,0.129690098,0.129690098,0.111176283,,,,,,,,,,,,,,,,,,,,
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,7,0,0.256321614,0.256321614,0.083345467,0,0.208462576,0.208462576,0.083332194,0,0.134997347,0.134997347,0.090895121,0,0.17500779,0.17500779,0.10001216,0,0.178718961,0.178718961,0.111115053,0,0.176927335,0.176927335,0.111098282,0,0.206064766,0.206064766,0.125051206,,,,,,,,,,,,,,,,
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,5,0,0.256321614,0.256321614,0.083345467,0,0.119570132,0.119570132,0.083333402,0,0.134997347,0.134997347,0.090895121,0,0.335416531,0.335416531,0.099868092,0,0.127987101,0.127987101,0.111116682,0,0.33772862,0.33772862,0.111078598,0,0.206064766,0.206064766,0.125051206,0,0.210632888,0.210632888,0.166533493,0,0.208342369,0.208342369,0.199981654,,,,,,,,
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2,0,0.256321614,0.256321614,0.083345467,0,1,1,0.083334006,0,0.337542743,0.337542743,0.091001096,0,1,1,0.09994353,0,0.259948768,0.259948768,0.111113678,0,0.502197643,0.502197643,0.111118613,0,0.501163224,0.501163224,0.124958209,0,0.25738395,0.25738395,0.166629503,0,0.50173716,0.50173716,0.199978658,0.325679697,1,0.674320303,0.333275362,,,,
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,12,0,0.111781013,0.111781013,0.083259542,0,0.111552754,0.111552754,0.083334237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1,0,1,1,0.083315899,0,0.208462576,0.208462576,0.083332194,0.076366586,1,0.923633414,0.090942073,0,0.203749755,0.203749755,0.100116539,0.088202029,1,0.911797971,0.111096833,0,0.259896894,0.259896894,0.111089329,0.119173879,1,0.880826121,0.124929153,0,0.33727144,0.33727144,0.166799624,0,0.339130534,0.339130534,0.200038843,0,0.503827202,0.503827202,0.333329245,,,,
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3,0,1,1,0.083315899,0,0.341801243,0.341801243,0.083333265,0,0.175085485,0.175085485,0.090810035,0,1,1,0.09994353,0,0.342985169,0.342985169,0.111116879,0,0.176927335,0.176927335,0.111098286,0,0.501163224,0.501163224,0.124958209,0,1,1,0.166788379,0,0.256953641,0.256953641,0.199998429,0,0.340986204,0.340986204,0.333395392,,,,
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,4,0,1,1,0.08331587,0,1,1,0.083334019,0,0.502104705,0.502104705,0.090834101,0,0.335416531,0.335416531,0.099868092,0,0.210849565,0.210849565,0.111115271,0.094497807,1,0.905502193,0.111152994,0,0.501163224,0.501163224,0.124958209,0,0.185381006,0.185381006,0.166460624,0.190960767,1,0.809039233,0.200002415,,,,,,,,
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,10,0,0.256321614,0.256321614,0.083345416,0,0.208462576,0.208462576,0.083332189,0,0.175085485,0.175085485,0.090810021,0,0.142218879,0.142218879,0.100082573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,13,0,0.103553994,0.103553994,0.076912947,0,0.111898818,0.111898818,0.076878234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,8,0,0.103553994,0.103553994,0.076912947,0,0.133492727,0.133492727,0.076771611,0,0.206133846,0.206133846,0.083297227,0,0.260521398,0.260521398,0.090924979,0,0.176789928,0.176789928,0.111115006,0,0.183586557,0.183586557,0.110920194,0,0.174217008,0.174217008,0.125145671,,,,,,,,,,,,,,,,
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,6,0,0.341407475,0.341407475,0.076926431,0,0.149732208,0.149732208,0.076722488,0,0.206133846,0.206133846,0.083297236,0,0.112615678,0.112615678,0.09093362,0,0.504342826,0.504342826,0.111115492,0,0.210477803,0.210477803,0.111052232,0,0.13383005,0.13383005,0.125019902,0,0.171260597,0.171260597,0.142856808,0,0.20967363,0.20967363,0.166667388,,,,,,,,
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,7,0,0.119843098,0.119843098,0.076941439,0,0.111898818,0.111898818,0.076878234,0,0.136125096,0.136125096,0.083335731,0,0.121307114,0.121307114,0.090922195,0,0.176789928,0.176789928,0.111115006,0,0.160161639,0.160161639,0.11104234,0,0.174217008,0.174217008,0.125145671,0,0.223866422,0.223866422,0.142856927,,,,,,,,,,,,
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3,0,0.207260727,0.207260727,0.076910552,0,0.171856667,0.171856667,0.077108602,0.068247628,1,0.931752372,0.083337831,0,0.176865447,0.176865447,0.090924128,0,0.176789928,0.176789928,0.111115006,0,0.337694918,0.337694918,0.111207816,0,1,1,0.125024491,0,0.346590013,0.346590013,0.142857199,0,0.257696751,0.257696751,0.166666001,0,0.20885572,0.20885572,0.199932853,0,0.336974607,0.336974607,0.24999434
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1,0,1,1,0.076930068,0.062982448,1,0.937017552,0.076991742,0,0.501533462,0.501533462,0.083356477,0.066911108,1,0.933088892,0.090876002,0,0.207810087,0.207810087,0.111098095,0,0.337694918,0.337694918,0.111207816,0,0.339376273,0.339376273,0.124879929,0,0.504969632,0.504969632,0.142857141,0,1,1,0.16666757,0,1,1,0.20001979,0.241526414,1,0.758473586,0.24998059
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,9,0,0.119843098,0.119843098,0.076941439,0,0.111898818,0.111898818,0.076878239,0,0.136125096,0.136125096,0.083335731,0,0.260521398,0.260521398,0.090925034,0,0.176789928,0.176789928,0.111115006,0,0.130390055,0.130390055,0.111209556,,,,,,,,,,,,,,,,,,,,
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,12,0,0.093207786,0.093207786,0.076911163,0,0.091311538,0.091311538,0.077097884,0,0.104585385,0.104585385,0.083340085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2,0,1,1,0.076930073,0,0.254246364,0.254246364,0.076993801,0,0.254600385,0.254600385,0.083413183,0,0.503826418,0.503826418,0.090930616,0.096160821,1,0.903839179,0.111092183,0,0.503273689,0.503273689,0.1112366,0,1,1,0.12502448,0.11161004,1,0.88838996,0.142856749,0,0.20967363,0.20967363,0.166667398,0,0.33560198,0.33560198,0.200018232,0,0.501090513,0.501090513,0.249981669
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,11,0,0.207260727,0.207260727,0.076910562,0,0.336164242,0.336164242,0.076909442,0,0.136125096,0.136125096,0.08333573,0,0.112818119,0.112818119,0.090837701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,10,0,0.150632208,0.150632208,0.076922967,0,0.133492727,0.133492727,0.076771611,0,0.104585385,0.104585385,0.083340085,0,0.176865447,0.176865447,0.090924127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,4,0,0.341407475,0.341407475,0.076926441,0,0.254246364,0.254246364,0.076993792,0,0.152504615,0.152504615,0.083260281,0,0.176865447,0.176865447,0.090924156,0,0.255424783,0.255424783,0.111118721,0.091105792,1,0.908894208,0.111081118,0,0.339376273,0.339376273,0.124879929,0,0.346590013,0.346590013,0.142857164,0,1,1,0.166667137,0,0.254253712,0.254253712,0.200009339,0,0.266687308,0.266687308,0.250043401
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,5,0,0.150632208,0.150632208,0.07692297,0,0.501415455,0.501415455,0.07700432,0,0.336400256,0.336400256,0.083350404,0,0.343540447,0.343540447,0.090877442,0,0.504342826,0.504342826,0.111115486,0,0.160161639,0.160161639,0.111042328,0,0.339376273,0.339376273,0.124879929,0,0.1948389,0.1948389,0.142858011,0,0.339200382,0.339200382,0.166664506,0,1,1,0.200019786,,,,
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,11,0,0.118180921,0.118180921,0.083309716,0,0.12260206,0.12260206,0.083379445,0,0.129070529,0.129070529,0.090894613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,10,0,0.110438344,0.110438344,0.083331428,0,0.108616541,0.108616541,0.083290943,0,0.129070529,0.129070529,0.090894613,0,0.114078429,0.114078429,0.100006331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,8,0,0.341049603,0.341049603,0.08333922,0,0.337391707,0.337391707,0.083358484,0,0.501582302,0.501582302,0.090907486,0,0.338435808,0.338435808,0.100008131,0,0.259031053,0.259031053,0.111099712,0.112488532,1,0.887511468,0.125062296,,,,,,,,,,,,,,,,,,,,
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,7,0,0.341049603,0.341049603,0.08333922,0,0.206689317,0.206689317,0.083381133,0,0.501582302,0.501582302,0.090907486,0,0.258420583,0.258420583,0.100025767,0,0.338805789,0.338805789,0.111124267,0,0.206299703,0.206299703,0.125003848,0,0.261847708,0.261847708,0.142867146,,,,,,,,,,,,,,,,
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,5,0,0.128010876,0.128010876,0.083370457,0,0.206689317,0.206689317,0.083381356,0,0.129070529,0.129070529,0.090894613,0,0.209182454,0.209182454,0.100016982,0,0.139368947,0.139368947,0.111099401,0,0.178103872,0.178103872,0.124900812,0,0.163157499,0.163157499,0.142871774,0,0.233790888,0.233790888,0.200064562,,,,,,,,,,,,
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,4,0.060743068,1,0.939256932,0.083331801,0,0.255322866,0.255322866,0.083198244,0,0.253164603,0.253164603,0.090900193,0,0.504596227,0.504596227,0.100033125,0,0.501639737,0.501639737,0.111100267,0,0.254167156,0.254167156,0.124999516,0,0.505923854,0.505923854,0.142833402,0,0.342874432,0.342874432,0.199943657,0.235988597,1,0.764011403,0.250000112,,,,,,,,
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2,0,0.341049603,0.341049603,0.08333922,0,0.131839756,0.131839756,0.08330344,0,0.205063365,0.205063365,0.090800502,0,0.15203674,0.15203674,0.099948997,0,0.126798596,0.126798596,0.111072729,0,0.154245093,0.154245093,0.124824572,0,0.186407846,0.186407846,0.142891016,0,0.272191304,0.272191304,0.199968443,0,0.268961898,0.268961898,0.250084652,0,0.351627417,0.351627417,0.333297947,,,,
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1,0,0.501650629,0.501650629,0.083362418,0,1,1,0.083327543,0,0.178814312,0.178814312,0.090923387,0.080406098,1,0.919593902,0.10001709,0,0.178161491,0.178161491,0.1111454,0,0.337040805,0.337040805,0.125178586,0,0.505923854,0.505923854,0.142833394,0,0.505725659,0.505725659,0.199972233,0,0.504945495,0.504945495,0.249963831,0.322745913,1,0.677254087,0.333345832,,,,
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,12,0,0.110331943,0.110331943,0.083192788,0,0.108616541,0.108616541,0.083291049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,9,0,0.15702825,0.15702825,0.083368567,0,0.206689317,0.206689317,0.083381338,0,0.158703016,0.158703016,0.090978922,0,0.135707446,0.135707446,0.099963304,0,0.178161491,0.178161491,0.111145414,,,,,,,,,,,,,,,,,,,,,,,,
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3,0,0.17327585,0.17327585,0.083346592,0,1,1,0.083327642,0.073917128,1,0.926082872,0.090919264,0,0.209182454,0.209182454,0.100016981,0.09396386,1,0.90603614,0.1111131,0,0.501853736,0.501853736,0.125085262,0.119729238,1,0.880270762,0.142838853,0.173658968,1,0.826341032,0.200051105,0,0.338823883,0.338823883,0.249951406,0,0.501440379,0.501440379,0.333356221,,,,
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,6,0,0.15702825,0.15702825,0.083368572,0,0.12260206,0.12260206,0.083379384,0,0.158703016,0.158703016,0.090978919,0,0.135707446,0.135707446,0.099963292,0,0.259031053,0.259031053,0.11109971,0,0.1365821,0.1365821,0.124945108,0,0.215794277,0.215794277,0.142864415,,,,,,,,,,,,,,,,
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,10,0,0.151801644,0.151801644,0.076899106,0,0.253643807,0.253643807,0.076923558,0,0.103929329,0.103929329,0.09103285,0,0.259210092,0.259210092,0.090908891,0,0.135992826,0.135992826,0.099947572,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3,0,0.207513381,0.207513381,0.076909291,0,1,1,0.076985644,0,0.176892568,0.176892568,0.090945298,0,0.259210092,0.259210092,0.090908891,0,0.501910709,0.501910709,0.100084841,0,0.18462219,0.18462219,0.111091768,0.110487616,1,0.889512384,0.125104976,0,0.341843035,0.341843035,0.166592698,0,0.266651667,0.266651667,0.200018388,0,0.338064008,0.338064008,0.249999861,,,,
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1,0,1,1,0.076929054,0,1,1,0.076985646,0,0.504093361,0.504093361,0.090938242,0.074834384,1,0.925165616,0.090896192,0.085090471,1,0.914909529,0.100182056,0,0.501628987,0.501628987,0.111133791,0,0.256966744,0.256966744,0.125024798,0.141665043,1,0.858334957,0.166793611,0.185205185,1,0.814794815,0.200050043,0,1,1,0.24983335,,,,
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,11,0,0.151801644,0.151801644,0.076899106,0,0.100351341,0.100351341,0.076873178,0,0.176892568,0.176892568,0.090945298,0,0.10699607,0.10699607,0.090909986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,8,0,0.255217626,0.255217626,0.07690645,0,0.120631469,0.120631469,0.076873122,0,0.176892568,0.176892568,0.090945298,0,0.259210092,0.259210092,0.090908891,0,0.255732126,0.255732126,0.099922036,0,0.256520948,0.256520948,0.111070136,0,0.138344593,0.138344593,0.124978108,,,,,,,,,,,,,,,,
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,6,0,0.09898621,0.09898621,0.076982569,0,0.120631469,0.120631469,0.076873119,0,0.176892568,0.176892568,0.090945298,0,0.259210092,0.259210092,0.090908891,0,0.176865447,0.176865447,0.099953232,0,0.338769956,0.338769956,0.11109164,0,0.155792525,0.155792525,0.125014086,0,0.261167109,0.261167109,0.16686098,,,,,,,,,,,,
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,5,0,0.207513381,0.207513381,0.076909291,0,0.170610999,0.170610999,0.076910299,0,0.208182721,0.208182721,0.090812009,0,0.503685037,0.503685037,0.090911561,0,0.255732126,0.255732126,0.099922021,0,0.18462219,0.18462219,0.111091768,0,0.503483372,0.503483372,0.124917561,0,0.216593419,0.216593419,0.16658842,0,0.337027037,0.337027037,0.199923599,,,,,,,,
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,13,0,0.095224902,0.095224902,0.077033119,0,0.091653548,0.091653548,0.077003885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2,0,1,1,0.076929054,0,0.253643807,0.253643807,0.076923556,0.071192444,1,0.928807556,0.090906769,0,0.338243383,0.338243383,0.090911633,0,0.337154751,0.337154751,0.100053348,0.091534379,1,0.908465621,0.111168496,0,0.177116783,0.177116783,0.125018114,0,0.509579665,0.509579665,0.166443486,0,0.501846852,0.501846852,0.199821752,0,1,1,0.24983335,,,,
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,12,0,0.110017841,0.110017841,0.076896733,0,0.150930394,0.150930394,0.076890603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,9,0,0.151801644,0.151801644,0.076899106,0,0.100351341,0.100351341,0.07687318,0,0.176892568,0.176892568,0.090945293,0,0.100614643,0.100614643,0.090917271,0,0.115681812,0.115681812,0.100034105,0,0.137226013,0.137226013,0.111178643,,,,,,,,,,,,,,,,,,,,
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,4,0,0.103810856,0.103810856,0.076906173,0,0.150930394,0.150930394,0.076890602,0,0.341520055,0.341520055,0.090791807,0,0.259210092,0.259210092,0.090909016,0,0.176865447,0.176865447,0.099953233,0,0.141317369,0.141317369,0.111103622,0,0.503483372,0.503483372,0.124917561,0,0.183148589,0.183148589,0.166720806,0,0.222202222,0.222202222,0.200186217,0,0.260200354,0.260200354,0.250333438,,,,
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,7,0,0.336116067,0.336116067,0.076900948,0,0.334545436,0.334545436,0.076993608,0,0.341520055,0.341520055,0.090791838,0,0.259210092,0.259210092,0.090908778,0,0.135992826,0.135992826,0.099947556,0,0.256520948,0.256520948,0.111070136,0,0.256966744,0.256966744,0.125024795,,,,,,,,,,,,,,,,
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,10,0,0.138666726,0.138666726,0.09996581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,9,0,0.127483228,0.127483228,0.099991747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,8,0,0.119011619,0.119011619,0.100013756,0,0.139698376,0.139698376,0.125002479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,7,0,0.153724354,0.153724354,0.099945054,0,0.33831109,0.33831109,0.124998234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,6,0,0.20951181,0.20951181,0.100009207,0,0.177553427,0.177553427,0.1249986,0,0.195872575,0.195872575,0.166652175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,5,0,0.20951181,0.20951181,0.100009207,0,0.259333294,0.259333294,0.125000755,0,0.216099744,0.216099744,0.166672233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
